Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"27 Aug 2024"
"All datapoints provided as of end of last active trading day."
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;25.00;25.00;25.00;25.00;"26/08/2024 16:00";CET;1;25.00;25.00;26/08/2024
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;134.50;137.50;133.70;136.80;"26/08/2024 16:25";CET;57830;'7849926.50;136.80;26/08/2024
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;4.13;4.22;4.00;4.22;"26/08/2024 17:35";CET;42979;'176309.01;4.22;26/08/2024
"3D SYSTEMS CORP";US88554D2053;4DDD;EuroTLX;EUR;2.169;2.169;2.169;2.169;"13/08/2024 13:59";CET;10;21.69;2.328;26/08/2024
"3D SYSTEMS CORP";US88554D2053;1DDD;"Euronext Global Equity Market";EUR;2.254;2.318;2.254;2.318;"26/08/2024 09:20";CET;2600;6020.40;2.338;26/08/2024
"3D SYSTEMS CORP";US88554D2053;2DDD;"Trading After Hours";EUR;3.838;3.838;3.838;3.838;"'05/06/2024 19:56";CET;3000;11514.00;3.339;31/07/2024
3M;US88579Y1010;4MMM;EuroTLX;EUR;112.40;112.40;112.40;112.40;"13/08/2024 09:00";CET;5;562.00;117.16;26/08/2024
3M;US88579Y1010;1MMM;"Euronext Global Equity Market";EUR;116.90;116.90;116.90;116.90;"26/08/2024 09:00";CET;5;584.50;117.00;26/08/2024
3M;US88579Y1010;2MMM;"Trading After Hours";EUR;96.45;96.45;96.45;96.45;"11/07/2024 20:01";CET;1;96.45;117.06;31/07/2024
"4AIM SICAF";IT0005204729;AIM;"Euronext Growth Milan";EUR;148.00;148.00;135.00;137.50;"26/08/2024 17:35";CET;146;20776.56;137.50;26/08/2024
"4AIM SICAF COMP 2";IT0005440323;AIM2;"Euronext Growth Milan";EUR;165.78;170.50;165.78;170.50;"21/08/2024 17:02";CET;42;6972.20;170.50;26/08/2024
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.145;1.24;1.145;1.16;"26/08/2024 15:37";CET;181951;'214780.48;1.16;26/08/2024
"A.B.P. NOCIVELLI";IT0005439861;ABP;"Euronext Growth Milan";EUR;4.40;4.40;4.40;4.40;"26/08/2024 11:46";CET;500;2200.00;4.40;26/08/2024
"A.S.T. GROUPE";FR0000076887;ALAST;"Euronext Growth Paris";EUR;'0.498;'0.50;'0.482;'0.482;"19/07/2024 17:14";CET;201;100.37;'0.482;26/08/2024
A2A;IT0001233417;A2A;"Euronext Milan";EUR;2.017;2.029;2.01;2.015;"26/08/2024 17:35";CET;4524765;'9123552.21;2.015;26/08/2024
A2A;IT0001233417;2A2A;"Trading After Hours";EUR;1.9585;1.9585;1.9585;1.9585;"31/07/2024 18:11";CET;500;979.25;1.9585;31/07/2024
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;35.06;35.12;34.16;34.50;"26/08/2024 17:35";CET;79886;'2752535.24;34.50;26/08/2024
"AALBERTS NV";NL0000852564;2AALB;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;111.00;112.00;111.00;112.00;"26/08/2024 13:56";CET;24;2684.00;112.00;26/08/2024
AATECH;IT0005548521;AAT;"Euronext Growth Milan";EUR;'0.93;'0.93;'0.92;'0.92;"26/08/2024 09:14";CET;4500;4155.00;'0.92;26/08/2024
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;55.08;55.34;54.88;55.02;"26/08/2024 17:35";CET;1049902;'57781227.60;55.02;26/08/2024
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;'0.98;'0.98;'0.972;'0.98;"26/08/2024 17:35";CET;11882;11633.59;'0.98;26/08/2024
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;50.00;50.00;50.00;50.00;"16/07/2024 11:30";CET;20;1000.00;50.00;26/08/2024
ABBVIE;US00287Y1091;4ABBV;EuroTLX;EUR;171.50;171.50;171.50;171.50;"19/08/2024 10:22";CET;18;3087.00;176.88;26/08/2024
ABBVIE;US00287Y1091;1ABBV;"Euronext Global Equity Market";EUR;177.66;177.66;176.42;176.42;"26/08/2024 15:33";CET;24;4241.52;176.90;26/08/2024
ABBVIE;US00287Y1091;2ABBV;"Trading After Hours";EUR;171.10;171.10;171.10;171.10;"26/07/2024 19:50";CET;7;1197.70;173.08;31/07/2024
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;4.25;4.285;4.24;4.275;"26/08/2024 17:35";CET;24900;'106166.92;4.275;26/08/2024
"ABC COMPANY";IT0005466294;ABC;"Euronext Growth Milan";EUR;3.30;3.30;3.30;3.30;"22/08/2024 17:35";CET;15000;49500.00;3.30;26/08/2024
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;10.00;10.05;10.00;10.05;"26/08/2024 17:24";CET;173;1738.60;10.05;26/08/2024
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6.20;6.24;6.17;6.20;"26/08/2024 16:25";CET;116873;'725521.02;6.20;26/08/2024
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.31;1.316;1.282;1.292;"26/08/2024 17:35";CET;9986;13035.68;1.292;26/08/2024
"ABITARE IN";IT0005445280;ABT;"Euronext Milan";EUR;4.44;4.44;4.37;4.37;"26/08/2024 17:35";CET;9836;43229.43;4.37;26/08/2024
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;10.26;10.42;10.26;10.42;"26/08/2024 17:35";CET;8571;88855.50;10.42;26/08/2024
"ABL Diagnostics";FR001400AHX6;ABLD;"Euronext Paris";EUR;2.76;2.76;2.76;2.76;"26/08/2024 11:30";CET;1;2.76;2.76;26/08/2024
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;10.30;10.35;10.00;10.20;"26/08/2024 16:28";CET;85859;'873853.90;10.20;26/08/2024
"ABN AMRO BANK N.V.";NL0011540547;ABN;"Euronext Amsterdam";EUR;15.425;15.465;15.345;15.385;"26/08/2024 17:37";CET;899821;'13858997.53;15.385;26/08/2024
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;5.65;5.65;5.65;5.65;"26/08/2024 09:00";CET;50;282.50;5.65;26/08/2024
